Produto Original,Total Unidades,Frequencia,Termo de Busca
Xantinon Complex flaconete com 10ml,348.0,13,Xantinon Complex Flaconete Com
Naldecon Noite 4 comprimidos,348.0,13,Naldecon Noite
"Fibras Tamarine sem Sabor 10 Sachês de 5,7g cada",348.0,14,Fibras Tamarine Sem Sabor 10 Sachês De 5 Cada
"Triplenex 0,01% + 0,15% + 0,5% Solução Oftálmica Estéril 5ml",348.0,14,Triplenex 0 01 0 15 0 5 Solução Oftálmica Estéril
Albocresil 18mg/ml Gel 50g + Aplicador,348.0,12,Albocresil Ml Gel Aplicador
Flancox 600mg 14 comprimidos,348.0,12,Flancox
Traumeel S 30ml,347.0,12,Traumeel S
Neo Fedipina 10mg 30 comprimidos,347.0,14,Neo Fedipina
Decadron Injetável 2mg/ml 2 ampolas com 1ml cada,347.0,13,Decadron Injetável Ml 2 Ampolas Com Cada
Humulin N NPH 100UI/ml 1 ampola com 10ml,347.0,15,Humulin N Nph 100Ui Ml 1 Ampola Com
Eniagor 50mg/ml Solução Capilar Refil 50ml,347.0,12,Eniagor Ml Solução Capilar Refil
Arnica Montana 6CH Almeida Prado Gotas 15ml,347.0,13,Arnica Montana 6Ch Almeida Prado Gotas
Neosaldina Dip 1g 4 comprimidos,347.0,13,Neosaldina Dip
Kit Solução para Lentes OPTI-FREE Express 355ml + 120ml + 1 Estojo para Lentes,347.0,14,Kit Solução Para Lentes Opti Free Express 1 Estojo Para Lentes
"Micardis HCT 80mg + 12,5mg 30 comprimidos",347.0,15,Micardis Hct 12
Zovirax 50mg/g Creme Dermatológico 10g,346.0,14,Zovirax G Creme Dermatológico
Afrat 150mg 1 comprimido,346.0,13,Afrat
Kelo-Cote Spray 100ml,346.0,12,Kelo Cote Spray
Suplemento Alimentar de Lactase Levty 30 comprimidos com  10.000 U.FCC cada,346.0,15,Suplemento Alimentar De Lactase Levty Com 10 000 U Fcc Cada
Motilium 1mg/ml Suspensão Oral 60ml,346.0,14,Motilium Ml Suspensão Oral
Coledue R 10mg + 20mg 30 cápsulas duras,346.0,14,Coledue R Duras
Spidufen 770mg 6 comprimidos revestidos,346.0,15,Spidufen Revestidos
Domperix 10mg 30 comprimidos,345.0,12,Domperix
Pant Sec 50mg/ml 1 válvula spray 50ml,345.0,14,Pant Sec Ml 1 Válvula Spray
Amiobal 30 comprimidos 100mg,345.0,13,Amiobal
Flagass 40mg 20 comprimidos,345.0,14,Flagass
"Pulmicort 0,5mg/ml Suspensão para Nebulização 5 frascos com 2ml cada",345.0,14,Pulmicort 0 Ml Suspensão Para Nebulização 5 Frascos Com Cada
Buprovil 600mg 20 Comprimidos Revestidos,345.0,13,Buprovil Revestidos
Acetilcisteína 600mg + Imuno Katiguá 16 cápsulas,345.0,13,Acetilcisteína Imuno Katiguá
Pastilha Ciflogex Sabor Mel e Limão 12un,345.0,14,Pastilha Ciflogex Sabor Mel E Limão 12Un
Analgésico Tylenol Gotas 200mg/ml Sabor Frutas 15ml,345.0,14,Analgésico Tylenol Gotas Ml Sabor Frutas
Ancoron 100mg 60 comprimidos revestidos,345.0,13,Ancoron Revestidos
Prolopa 100/25mg 30 comprimidos dispersíveis,344.0,15,Prolopa 100 Dispersíveis
Winter Ap 6mg + 120mg 8 cápsulas,344.0,12,Winter Ap
"Hexomedine 1mg/ml + 0,5mg/ml Spray 50ml",344.0,13,Hexomedine Ml 0 Ml Spray
Vitamina D3 Addera D3 7.000UI 10 comprimidos revestidos,344.0,12,Vitamina D3 Addera D3 7 000Ui Revestidos
Tylenol Sinus 1g + 60mg 36 comprimidos revestidos,344.0,14,Tylenol Sinus Revestidos
Micardis Anlo 80mg + 10mg 30 comprimidos,344.0,12,Micardis Anlo
Antiácido Pó Efervescente Gastrol Limão 1 envelope com 5g,344.0,12,Antiácido Pó Efervescente Gastrol Limão Com
"Nitrato de Prata Bastão 90,0% Ifal 0,8g",344.0,14,Nitrato De Prata Bastão 90 0 Ifal 0
Glivance XR 500mg + 30mg 30 Comprimidos de Liberação Prolongada,344.0,13,Glivance Xr De Liberação Prolongada
Gynazole-1 20mg/g Creme Ginecológico 5g,344.0,12,Gynazole 1 G Creme Ginecológico
Cordarex 5mg 30 comprimidos,344.0,12,Cordarex
Primogyna 1mg 28 drágeas,344.0,15,Primogyna
Cimegripe 10 Cápsulas,343.0,13,Cimegripe
Analgésico Advil 400mg 3 cápsulas líquidas,343.0,12,Analgésico Advil Líquidas
Soolantra 10mg/g Creme Dermatológico 30g,343.0,14,Soolantra G Creme Dermatológico
Tapazol 10mg 50 comprimidos,343.0,13,Tapazol
Alenia 12mcg + 400mcg 60 cápsulas inalatórias + 1 inalador,343.0,13,Alenia Inalatórias 1 Inalador
Solução Oftálmica Florate 1mg/ml 5ml,343.0,13,Solução Oftálmica Florate Ml
Sedamed 300mg + 30mg + 30mg 20 comprimidos revestidos,343.0,12,Sedamed Revestidos
Vabam 15mg 15 comprimidos revestidos,343.0,12,Vabam Revestidos
Rybelsus 3mg 30 comprimidos,343.0,14,Rybelsus
"Trok 20mg/g + 0,64mg/g Creme Dermatológico 10g",342.0,12,Trok G 0 G Creme Dermatológico
"Triplixam 5mg + 1,25mg + 10mg 30 comprimidos revestidos",342.0,16,Triplixam 1 Revestidos
"SECNIDAL - 1000mg, 2 comprimidos revestidos",342.0,14,Secnidal Revestidos
Beserol 12 comprimidos,342.0,13,Beserol
Codroflex 500mg + 400mg 90 cápsulas,342.0,13,Codroflex
Floratil AT 250mg 10 cápsulas,342.0,14,Floratil At
Motix Pomada 50g,342.0,16,Motix Pomada
Xigduo XR 5mg + 1000mg 60 comprimidos revestidos de liberação prolongada,342.0,12,Xigduo Xr Revestidos De Liberação Prolongada
Xantinol Complex 12 flaconetes com 10ml cada,342.0,12,Xantinol Complex 12 Flaconetes Com Cada
Famox 40mg 10 comprimidos,342.0,15,Famox
Endofer 100mg 30 comprimidos mastigáveis,341.0,15,Endofer Mastigáveis
"Benicar HCT 40 + 12,5mg 30 comprimidos revestidos",341.0,13,Benicar Hct 40 12 Revestidos
Toragesic 10mg 20 comprimidos sublinguais,341.0,13,Toragesic Sublinguais
Analgésico CataflamPRO Emugel 30g,341.0,14,Analgésico Cataflampro Emugel
Neo Fedipina 20mg 30 comprimidos,341.0,12,Neo Fedipina
Alta D 15.000UI 4 Cápsulas Moles,341.0,16,Alta D 15 000Ui Moles
Diovan 40mg 28 comprimidos revestidos,341.0,14,Diovan Revestidos
"Trayenta Duo 2,5mg + 850mg 60 comprimidos revestidos",341.0,14,Trayenta Duo 2 Revestidos
Elixir Galenogal 150ml,341.0,13,Elixir Galenogal
"Trok - N 20mg/g + 0,64mg/g + 2,5mg/g Pomada Dermatológica 30g",341.0,16,Trok N G 0 G 2 G Pomada Dermatológica
Permear 300mg 30 comprimidos revestidos,341.0,14,Permear Revestidos
Vicog 5mg 90 comprimidos,341.0,15,Vicog
Amome 50mcg Spray Nasal 120 acionamentos,340.0,13,Amome Spray Nasal 120 Acionamentos
"Fentizol 0,02g/g Creme Ginecológico 40g + 7 aplicadores de 5g cada",340.0,14,Fentizol 0 G Creme Ginecológico 7 Aplicadores De Cada
OsteoNutri 600mg + 400UI 30 comprimidos revestidos,340.0,13,Osteonutri 400Ui Revestidos
Pant 50mg/ml Refil 50ml,340.0,12,Pant Ml Refil
Floratil 100mg 12 cápsulas,340.0,13,Floratil
Mel Rosado ADV 30ml,340.0,13,Mel Rosado Adv
Analgésico Aerossol Gelol 60ml,340.0,12,Analgésico Aerossol Gelol
Dexalgen NF Solução Injetável 3 ampolas I (1 ml) e 3 ampolas II (2 ml),339.0,13,Dexalgen Nf Solução Injetável 3 Ampolas I E 3 Ampolas Ii
Atacand 8mg 30 comprimidos,339.0,12,Atacand
"Celerg Xarope 0,4mg/ml + 0,05mg/ml 120ml",339.0,13,Celerg Xarope 0 Ml 0 Ml
OsteoNutri 600mg + 400UI 60 comprimidos revestidos,339.0,13,Osteonutri 400Ui Revestidos
"Peg-Lax 8,5g Pó para Solução Sem Sabor 14 envelopes",339.0,14,Peg Lax 8 Pó Para Solução Sem Sabor
Busonid Aquoso Nasal 100mcg 120 doses 6ml,339.0,14,Busonid Aquoso Nasal 120 Doses
Contractubex Gel 20g,339.0,13,Contractubex Gel
Slinda 4mg 28 comprimidos revestidos,339.0,14,Slinda Revestidos
"DIGESTINA - 4mg/mL, 1 frasco gotejador com 20mL de solução de uso oral",339.0,12,Digestina Ml 1 Frasco Gotejador Com De Solução De
Suplemento Hidroeletrolítico Pedialyte Max Coco 500ml,339.0,13,Suplemento Hidroeletrolítico Pedialyte Max Coco
Solução Oftálmica Maxilerg 1mg/ml 5ml,339.0,15,Solução Oftálmica Maxilerg Ml
"Ad-Muc Kids 0,2% Gel Bucal 10g",339.0,13,Ad Muc Kids 0 2 Gel Bucal
Pant 50mg/ml 2 frascos de 50ml cada,339.0,14,Pant Ml 2 Frascos De Cada
"Letrozol 2,5mg Eurofarma 30 comprimidos revestidos",339.0,13,Letrozol 2 Eurofarma Revestidos
"Diane 35 2mg + 0,035mg 21 drágeas",338.0,15,Diane 35 0
Kalonat 10ml,338.0,13,Kalonat
Atacand 16mg 30 comprimidos,338.0,14,Atacand
Aradois 100mg 30 comprimidos revestidos,338.0,13,Aradois Revestidos
"Aradois H 50mg + 12,5mg 90 comprimidos revestidos",338.0,14,Aradois H 12 Revestidos
"Puran T4 37,5mcg 30 comprimidos",338.0,13,Puran T4 37
"Moment 0,25mg/ml 60ml",338.0,13,Moment 0 Ml
Pérola 75mcg 28 comprimidos revestidos,338.0,12,Pérola Revestidos
"Gestrelan 0,15mg + 0,03mg 63 comprimidos",337.0,12,Gestrelan 0 0
Alginac 5.000mcg + 100mg + 100mg + 75mg 3 ampolas com 1ml + 3 ampolas com 2ml,337.0,12,Alginac 5 3 Ampolas Com 3 Ampolas Com
Zina 5mg 10 comprimidos,337.0,12,Zina
Mioflex A 125mg + 50mg + 300mg + 30mg 30 Comprimidos,337.0,12,Mioflex A
Decongex Plus 12 comprimidos,337.0,13,Decongex Plus
Riopan Plus 80mg/ml + 10mg/ml 240ml,337.0,12,Riopan Plus Ml Ml
Sinvastacor 10mg 30 comprimidos revestidos,337.0,15,Sinvastacor Revestidos
Insulina Fiasp 100U FlexTouch 3ml Com 1 Caneta,337.0,13,Insulina Fiasp 100U Flextouch Com 1 Caneta
Labirin 24mg 30 comprimidos,336.0,13,Labirin
Icacort 1mg/g + 10mg/g Creme Dermatológico 30g,336.0,13,Icacort G G Creme Dermatológico
Hidrion 40mg + 100mg 30 comprimidos,336.0,13,Hidrion
Kit Solução Estéril para Lentes Bio Lent 360ml + 120ml + Estojo para Lentes,336.0,15,Kit Solução Estéril Para Lentes Bio Lent Estojo Para Lentes
Enxak 12 comprimidos,336.0,12,Enxak
Hidrion 40mg + 100mg 20 comprimidos,336.0,14,Hidrion
AAS Infantil 100mg com 10 comprimidos,336.0,13,Aas Infantil Com
Diamicron MR 30mg 30 comprimidos de liberação prolongada,336.0,17,Diamicron Mr De Liberação Prolongada
Bamifix 300mg 20 drágeas,336.0,14,Bamifix
"Omnic Ocas 0,4mg 60 comprimidos de liberação prolongada",336.0,12,Omnic Ocas 0 De Liberação Prolongada
Effient 10mg 30 comprimidos revestidos,336.0,15,Effient Revestidos
Chá Vick Pyrena Sabor Maçã e Canela 5g,336.0,14,Chá Vick Pyrena Sabor Maçã E Canela
Motilium 10mg 60 comprimidos,336.0,13,Motilium
"Metamucil Sabor Laranja 10 sachês com 5,85g",336.0,12,Metamucil Sabor Laranja 10 Sachês Com 5
Buscofem 400mg 10 cápsulas,336.0,12,Buscofem
"Pressat 2,5mg 60 comprimidos",336.0,14,Pressat 2
Protetor Ocular Nexcare Grande 12un,336.0,12,Protetor Ocular Nexcare Grande 12Un
Lorasliv 10mg 12 comprimidos,336.0,14,Lorasliv
Suplemento Vitamínico Neutrofer Prev 60ml,336.0,12,Suplemento Vitamínico Neutrofer Prev
Venaflon 900mg + 100mg 30 comprimidos,336.0,17,Venaflon
Dramin B6 30ml,336.0,12,Dramin B6
"Bramicar HCT 40mg + 12,5mg 30 comprimidos",336.0,13,Bramicar Hct 12
"Psorex 0,5mg/g Solução Capilar 50ml",336.0,13,Psorex 0 G Solução Capilar
EMS Expector Sabor Caramelo 120ml,335.0,14,Ems Expector Sabor Caramelo
Milgamma 150mg 30 drágeas,335.0,16,Milgamma
Torante 15mg/ml Xarope 100ml,335.0,13,Torante Ml Xarope
Loção Oleosa Dersani 200ml,335.0,12,Loção Oleosa Dersani
Digestina 10mg  20 comprimidos,335.0,14,Digestina
Symbicort Turbuhaler 6/200 mcg por inalação 60 doses de pó para inalação,335.0,13,Symbicort Turbuhaler 6 Por Inalação 60 Doses De Pó Para Inalação
Gaeso 40mg 28 comprimidos,335.0,13,Gaeso
Enantato de Noretisterona + Valerato de Estradiol 50mg + 5mg Eurofarma 1 ampola com 1ml,335.0,13,Enantato De Noretisterona Valerato De Estradiol Eurofarma 1 Ampola Com
Pantogar Biolab 30 cápsulas,335.0,13,Pantogar Biolab
"Nienza 3,125mg 30 comprimidos",335.0,14,Nienza 3
Vasogard 50mg 60 comprimidos,335.0,13,Vasogard
Magnopyrol 500mg/ml Gotas 20ml,335.0,15,Magnopyrol Ml Gotas
Tormiv SL 10mg Sabor Limão 20 comprimidos sublinguais,334.0,12,Tormiv Sl Sabor Limão Sublinguais
Xarope Ambroxmel Sabor Mel 120ml,334.0,12,Xarope Ambroxmel Sabor Mel
"Fluidificante e Descongestionante Nasal Blusoro Jet Infantil 0,9% 100ml",334.0,14,Fluidificante E Descongestionante Nasal Blusoro Jet Infantil 0 9
Xarelto 15mg 28 comprimidos revestidos,334.0,15,Xarelto Revestidos
Suplemento Alimentar Doss 2.000UI Vitamina D3 30 cápsulas gelatinosas moles,334.0,12,Suplemento Alimentar Doss 2 000Ui Vitamina D3 Gelatinosas Moles
Clenil Compositum HFA Spray 50mcg + 100mcg 200 doses 10ml,334.0,14,Clenil Compositum Hfa Spray 200 Doses
Quicard 35mg 60 Comprimidos Revestidos De Liberação Prolongada,334.0,12,Quicard Revestidos De Liberação Prolongada
"Yomax 5,4mg 60 comprimidos",334.0,12,Yomax 5
Xarope Vibral 3mg/ml Sabor Framboesa 120ml,334.0,12,Xarope Vibral Ml Sabor Framboesa
Neocopan Composto 20 comprimidos revestidos,334.0,15,Neocopan Composto Revestidos
Paracetamol 200mg/ml Cimed 15ml,334.0,12,Paracetamol Ml Cimed
Rivaroxabana 20mg EMS 30 comprimidos revestidos,333.0,14,Rivaroxabana Ems Revestidos
Flavonid 450mg + 50mg 60 comprimidos revestidos,333.0,12,Flavonid Revestidos
Suplemento Alimentar para Gestantes Mega Mater 30 cápsulas,333.0,13,Suplemento Alimentar Para Gestantes Mega Mater
Kronel Gel Ginecológico 60g 10 aplicadores,333.0,13,Kronel Gel Ginecológico 10 Aplicadores
Flebodia 600mg 30 comprimidos revestidos,333.0,13,Flebodia Revestidos
Marevan 5mg 30 comprimidos,333.0,13,Marevan
Nesina Pio 25mg + 15mg 30 comprimidos revestidos,333.0,14,Nesina Pio Revestidos
Trezor 20mg 30 comprimidos revestidos,333.0,13,Trezor Revestidos
Vick Pyrena Grip-7 20 Cápsulas,333.0,13,Vick Pyrena Grip 7
"Fluidificante e Descongestionante Nasal Rinosoro Jet XT Infantil 0,9% 100ml",333.0,13,Fluidificante E Descongestionante Nasal Rinosoro Jet Xt Infantil 0 9
"Sandrena 0,5mg Gel 28 sachês com 0,5g",333.0,14,Sandrena 0 Gel 28 Sachês Com 0
Miosan 5mg 30 comprimidos,333.0,15,Miosan
Doss 15.000UI 04 cápsulas gelatinosas moles,333.0,12,Doss 15 000Ui Gelatinosas Moles
Venaflon 450mg + 50mg 30 comprimidos revestidos,333.0,14,Venaflon Revestidos
Motore 250mg 120 cápsulas,332.0,12,Motore
"Somalgin Cardio 81mg, 60 Comprimidos Revestidos de Dupla Camada",332.0,13,Somalgin Cardio Revestidos De Dupla Camada
Dacxi 20mg 28 comprimidos revestidos,332.0,13,Dacxi Revestidos
Meclin 25mg 15 comprimidos,332.0,14,Meclin
Alenia Refil 6mcg + 200mcg 60 cápsulas inalatórias,332.0,17,Alenia Refil Inalatórias
Zyrtec 10mg 12 comprimidos revestidos,332.0,13,Zyrtec Revestidos
Suplemento Alimentar Probid 30 Cápsulas,332.0,13,Suplemento Alimentar Probid
Osteoban 150mg 3 comprimidos,332.0,13,Osteoban
Synthroid 88mcg 30 comprimidos,332.0,13,Synthroid
"Naramig 2,5mg 4 comprimidos revestidos",332.0,12,Naramig 2 Revestidos
Vertigium 10mg 50 comprimidos,332.0,13,Vertigium
Vodol 20mg/g Pó 30g,332.0,14,Vodol G Pó
Teste de Gravidez Fast Test Semanas 1un,331.0,13,Teste De Gravidez Fast Test Semanas 1Un
Maleato de Dexclorfeniramina 2mg/5ml EMS 120ml,331.0,14,Maleato De Dexclorfeniramina Ems
Acular LS 4mg/ml Solução Oftálmica 5ml,331.0,14,Acular Ls Ml Solução Oftálmica
"Drenison 0,125mg/g Pomada 30g",331.0,14,Drenison 0 G Pomada
"Celestamine 0,05mg/ml + 0,4mg/ml Xarope 120ml",331.0,12,Celestamine 0 Ml 0 Ml Xarope
Suplemento Alimentar Engov After Sabor Citrus 250ml,331.0,12,Suplemento Alimentar Engov After Sabor Citrus
Antiácido Pó Efervescente Estomazil Sabor Abacaxi 100g,331.0,13,Antiácido Pó Efervescente Estomazil Sabor Abacaxi
Micolamina 80mg/mg Esmalte 8% 6g + 24 lixas,331.0,13,Micolamina Mg Esmalte 8 Ixas
Leite de Magnésia Eno Tradicional 120ml,331.0,15,Leite De Magnésia Eno Tradicional
Acetilcisteína 10mg/ml União Química Uso Endovenoso/Inalatório 5 ampolas de 3ml,331.0,14,Acetilcisteína Ml União Química Uso Endovenoso Inalatório 5 Ampolas De
"Pomada Kollagenase 0,6U/g 30g",331.0,12,Pomada Kollagenase 0 6U G
Suplemento Alimentar Femibion 1 28 comprimidos,330.0,14,Suplemento Alimentar Femibion 1
Espinheira Santa 380mg Herbarium 45 Cápsulas Duras,330.0,13,Espinheira Santa Herbarium Duras
Prolopa BD 100/25mg 60 comprimidos,330.0,14,Prolopa Bd 100
Euthyrox 112mcg 50 comprimidos,330.0,12,Euthyrox
CafiLisador 500mg + 65mg 16 comprimidos,330.0,14,Cafilisador
Cimelide 50mg/ml Cimed Suspensão Oral 15ml,330.0,12,Cimelide Ml Cimed Suspensão Oral
Digesan 4mg Gotas 20ml,330.0,14,Digesan Gotas
Lacday 10.000 U.FCC EMS 8 comprimidos mastigáveis,330.0,13,Lacday 10 000 U Fcc Ems Mastigáveis
Lactulona 667mg/ml Xarope Sabor Salada de Frutas 120ml,330.0,12,Lactulona Ml Xarope Sabor Salada De Frutas
"Aradois H 50mg + 12,5mg 60 comprimidos revestidos",330.0,12,Aradois H 12 Revestidos
Melhoral Infantil 8 comprimidos,330.0,15,Melhoral Infantil
"Descongestionante Nasal Sorine SSC 0,9% Spray 50ml",330.0,14,Descongestionante Nasal Sorine Ssc 0 9 Spray
Eparema Tradicional Sabor Hortelã 10ml,330.0,13,Eparema Tradicional Sabor Hortelã
"Solução Oftálmica Combigan 0,2% + 0,5% 5ml",330.0,12,Solução Oftálmica Combigan 0 2 0 5
Spray Nasal Cimed 50ml,330.0,12,Spray Nasal Cimed
Stanglit 30mg 30 comprimidos,330.0,12,Stanglit
Permese 5mg/ml + 2mg/ml Solução Intramuscular com 1ml + seringa,329.0,13,Permese Ml Ml Solução Intramuscular Com Seringa
"Puran T4 12,5mcg 30 comprimidos",329.0,13,Puran T4 12
"Tess 2,0mg + 0,035mg 21 comprimidos revestidos",329.0,13,Tess 2 0 Revestidos
"Amora 2mg + 0,03mg 21 comprimidos revestidos",329.0,13,Amora 0 Revestidos
Flanax 550mg 2 comprimidos revestidos,329.0,12,Flanax Revestidos
Chá Vick Pyrena Sabor Camomila e Erva-Cidreira 5g,329.0,12,Chá Vick Pyrena Sabor Camomila E Erva Cidreira
Slinda 4mg 3 blísteres com 28 comprimidos revestidos cada,329.0,12,Slinda 3 Blísteres Com Revestidos Cada
Clenil HFA 250mcg Jet Solução Aerossol 200 doses 10ml,329.0,15,Clenil Hfa Jet Solução Aerossol 200 Doses
Bálsamo Bengué Gel 20g,329.0,12,Bálsamo Bengué Gel
"Novanlo 2,5mg 90 comprimidos",329.0,15,Novanlo 2
Vabam 15mg 30 comprimidos revestidos,329.0,14,Vabam Revestidos
Sumaxpro 85mg + 500mg 2 Comprimidos Revestidos,329.0,12,Sumaxpro Revestidos
Euthyrox 100mcg 50 comprimidos,329.0,15,Euthyrox
"Rehidrat 50 Sabor Natural 4 envelopes de 7,34g",329.0,13,Rehidrat 50 Sabor Natural De 7
Clenil HFA 200mcg Spray 200 doses + 1 dispositivo em L para administração oral,328.0,13,Clenil Hfa Spray 200 Doses 1 Dispositivo Em L Para Administração Oral
Artrodar 50mg 30 cápsulas,328.0,13,Artrodar
Neutrofer 300mg 30 comprimidos revestidos,328.0,14,Neutrofer Revestidos
Antux 30mg/5ml Sabor Cereja 120ml,328.0,12,Antux Sabor Cereja
Acertil 5mg 30 comprimidos revestidos,328.0,12,Acertil Revestidos
Antialérgico Claritin 10mg 6 comprimidos,328.0,15,Antialérgico Claritin
SeloZok 25mg 60 comprimidos revestidos de liberação controlada,328.0,13,Selozok Revestidos De Liberação Controlada
"Tamsulon 0,4mg 30 cápsulas",328.0,13,Tamsulon 0
Rubia 75mcg 28 comprimidos revestidos,328.0,13,Rubia Revestidos
Itralex 100mg 15 cápsulas,328.0,13,Itralex
"Liberaflux 7,5mg/ml Sabor Cereja 100ml",328.0,13,Liberaflux 7 Ml Sabor Cereja
Suplemento Alimentar Bifilac Sii 30 cápsulas,328.0,13,Suplemento Alimentar Bifilac Sii
Gengimin 160mg 15 Comprimidos Revestidos,328.0,13,Gengimin Revestidos
Tenag 40mg 20 comprimidos revestidos,328.0,14,Tenag Revestidos
Massageol Aerossol 120ml,328.0,13,Massageol Aerossol
Equitam 80mg 30 Comprimidos Revestidos,328.0,13,Equitam Revestidos
Alivium 600mg 10 cápsulas líquidas,327.0,13,Alivium Líquidas
Suplemento Alimentar Gestamax Plus 60 cápsulas gelatinosas moles,327.0,13,Suplemento Alimentar Gestamax Plus Gelatinosas Moles
Algie 150mg 10 comprimidos revestidos de liberação prolongada,327.0,14,Algie Revestidos De Liberação Prolongada
Mestinon 60mg 60 comprimidos,327.0,15,Mestinon
"Colírio Clanistil 0,25mg/mm + 3mg/ml 15ml",327.0,13,Colírio Clanistil 0 Mm Ml
Lisador Dip 500mg/ml Gotas 20ml,327.0,13,Lisador Dip Ml Gotas
"Primosiston 2mg + 0,01mg 30 comprimidos",327.0,13,Primosiston 0
Olmetec Anlo 40mg + 5mg 30 comprimidos revestidos,327.0,14,Olmetec Anlo Revestidos
Roxflan 5mg 30 comprimidos,327.0,12,Roxflan
Allestra 30 75mcg + 30mcg 63 drágeas,327.0,14,Allestra 30
Concor 10mg 30 comprimidos revestidos,327.0,13,Concor Revestidos
Probiótico Enterogermina 10 frascos de 5ml,326.0,12,Probiótico Enterogermina 10 Frascos De
"Adoless 0,060mg + 0,015mg 28 comprimidos revestidos",326.0,12,Adoless 0 0 Revestidos
"Pozato Uni 1,5mg 1 comprimido revestido",326.0,13,Pozato Uni 1 Revestido
Nisulid 100mg 12 comprimidos,326.0,12,Nisulid
Azukon MR 30mg 100 comprimidos de liberação prolongada,326.0,13,Azukon Mr De Liberação Prolongada
Nordette 150/30mcg 63 drágeas,326.0,12,Nordette 150
Fitoscar 60mg/g Pomada 20g,326.0,13,Fitoscar G Pomada
Vitamina D 500UI Althaia Gotas 20ml,326.0,12,Vitamina D 500Ui Althaia Gotas
Daraprim 25mg 30 comprimidos,326.0,12,Daraprim
Artroflan 150mg 60 comprimidos revestidos,326.0,14,Artroflan Revestidos
Pomada Lidopass 50mg/g Cimed Sabor Laranja 25g,325.0,15,Pomada Lidopass G Cimed Sabor Laranja
Glifage 500mg 30 comprimidos revestidos,325.0,13,Glifage Revestidos
"Benicar Triplo 40mg/12,5mg/5mg 30 comprimidos revestidos",325.0,13,Benicar Triplo 12 Revestidos
Pantocal 20mg 28 comprimidos revestidos de liberação retardada,325.0,12,Pantocal Revestidos De Liberação Retardada
Sinvastacor 40mg 30 comprimidos revestidos,325.0,12,Sinvastacor Revestidos
Flanax 550mg 10 comprimidos revestidos,325.0,12,Flanax Revestidos
Cataflam 50mg 10 drágeas,325.0,13,Cataflam
Antigases Luftal Gotas 75mg/ml Sabor Cereja 15ml,325.0,14,Antigases Luftal Gotas Ml Sabor Cereja
Diosmin SDU 900mg + 100mg Sabor Abacaxi 30 sachês com 5g cada,325.0,12,Diosmin Sdu Sabor Abacaxi 30 Sachês Com Cada
Tenadren 40mg + 25mg 30 comprimidos,325.0,13,Tenadren
AtivB 1000mcg 30 comprimidos sublinguais,325.0,14,Ativb Sublinguais
LuftaFEM 200mg + 500mg 12 comprimidos revestidos,325.0,12,Luftafem Revestidos
Solução Oftálmica Toragesic Ofta 5mg/ml 5ml,325.0,13,Solução Oftálmica Toragesic Ofta Ml
Loxonin Flex 100mg 7 adesivos,325.0,13,Loxonin Flex 7 Adesivos
Euthyrox 137mcg 50 comprimidos,325.0,12,Euthyrox
Ancoron 100mg 30 comprimidos revestidos,325.0,14,Ancoron Revestidos
Concor Anlo 5/5 mg 30 comprimidos,325.0,13,Concor Anlo 5
"Vitacid Plus 0,1mg/g + 40mg/g + 0,5mg/g Creme 15g",324.0,14,Vitacid Plus 0 G G 0 G Creme
Betaserc 16mg 30 comprimidos,324.0,13,Betaserc
Solução Oftálmica Drusolol 2% + 5% 5ml,324.0,13,Solução Oftálmica Drusolol 2 5
"Natrilix SR 1,5mg 60 comprimidos revestidos de liberação prolongada",324.0,14,Natrilix Sr 1 Revestidos De Liberação Prolongada
Probiótico Enterogermina Plus 5 frascos de 5ml,324.0,15,Probiótico Enterogermina Plus 5 Frascos De
Suplemento Hidroeletrolítico Hidralyte Natulab Guaraná 500ml,324.0,13,Suplemento Hidroeletrolítico Hidralyte Natulab Guaraná
Restaurador da Flora Intestinal Repoflor 200mg 6 cápsulas duras,324.0,14,Restaurador Da Flora Intestinal Repoflor Duras
Vonaugasmax 250mg 10 cápsulas moles,324.0,12,Vonaugasmax Moles
Flebon 50mg 30 comprimidos,324.0,13,Flebon
Suplemento Vitamínico Nestlé Materna 30 comprimidos revestidos,324.0,13,Suplemento Vitamínico Nestlé Materna Revestidos
Noripurum 10mg/ml Xarope 120ml,324.0,15,Noripurum Ml Xarope
Alivium Infantil 100mg/ml Sabor Frutas 20ml,324.0,14,Alivium Infantil Ml Sabor Frutas
Livalo 4mg 30 comprimidos revestidos,324.0,12,Livalo Revestidos
Topison 1mg/g Pomada 20g,324.0,15,Topison G Pomada
Januvia 50mg 28 comprimidos revestidos,324.0,13,Januvia Revestidos
Crevagin 30mg/g + 20mg/g Creme Ginecológico 40g + 7 aplicadores,323.0,13,Crevagin G G Creme Ginecológico 7 Aplicadores
Neosaldina Solução Oral 15ml,323.0,12,Neosaldina Solução Oral
Janumet XR 100mg/1000mg 30 comprimidos revestidos de liberação prolongada,323.0,12,Janumet Xr Revestidos De Liberação Prolongada
Decongex Plus Xarope 120ml,323.0,13,Decongex Plus Xarope
"TRAVATAN - 0,04mg/mL, 1 frasco gotejador com 2,5mL de solução de uso oftalmológico",323.0,13,Travatan 0 Ml 1 Frasco Gotejador Com 2 De Solução De Uso Oftalmológico
Neosaldina 30 drágeas,323.0,12,Neosaldina
"Selene 0,035mg + 2mg 21 comprimidos revestidos",323.0,13,Selene 0 Revestidos
