Produto;Quantidade_Total;Frequencia_Vendas;Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
Sinot Clav 875/125mg 14 Comprimidos Revestido Eurofarma;536.0;16;São João;7891317017378.0;Sertralina Revestido Eurofarma 25mg 30 Comprimidos Genérico (C1);Disponível;80,69;42,09;-47.8%;42,09;-47.8%;Medicamentos > Sistema Nervoso Central > Depressão;100005517.0;https://www.saojoaofarmacias.com.br/sertralina-revestido-eurofarma-25mg-30-comprimidos-generico--c1--100005517/p
Axetil de Cefuroxima Suspensão Oral 250mg/5ml 50ml Genérico Ranbaxy;536.0;15;São João;7896523208473.0;Amoxicilina Suspensão Oral 250mg/5ml 150ml Genérico Cimed;Disponível;29,54;12,29;-58.4%;12,29;-58.4%;Medicamentos > Alergias E Infecções > Infecção;1000096.0;https://www.saojoaofarmacias.com.br/amoxicilina-suspensao-oral-250mg-5ml-150ml-generico-cimed-1000096/p
Probians 30 Cápsulas;535.0;14;São João;7896637032223.0;Probians 30 Cápsulas;Disponível;135,90;135,90;-0.0%;135,90;-0.0%;Medicamentos > Estômago E Gastrointestinais > Diarreia;10023737.0;https://www.saojoaofarmacias.com.br/probians-30-capsulas-10023737/p
Fluoxetina 20mg 28 Cápsulas Genérico Cimed (C1);527.0;16;São João;7896523208770.0;Fluconazol 150mg 2 Cápsulas Genérico Cimed;Disponível;23,03;6,29;-72.7%;6,29;-72.7%;Medicamentos > Antifúngicos;999533.0;https://www.saojoaofarmacias.com.br/fluconazol-150mg-2-capsulas-generico-cimed-999533/p
Praalergia 120mg 6 Comprimidos Cimed;526.0;16;São João;7896523227443.0;Tadalafila Genérico Cimed 20mg 4 Comprimidos;Disponível;96,29;24,49;-74.6%;24,49;-74.6%;Medicamentos > Saúde Do Homem > Disfunção Erétil;10006795.0;https://www.saojoaofarmacias.com.br/tadalafila-generico-cimed-20mg-4-comprimidos-10006795/p
Nesina Pio 25mg + 15mg 30 Comprimidos Revestidos Hypera;523.0;13;São João;7896004747002.0;Escitalopram Genérico EMS 15mg 30 Comprimidos Revestidos (C1);Disponível;193,79;49,90;-74.3%;49,90;-74.3%;Medicamentos > Sistema Nervoso Central > Depressão;100009434.0;https://www.saojoaofarmacias.com.br/escitalopram-generico-ems-15mg-30-comprimidos-revestidos--c1--100009434/p
Koide 120ml Momenta;521.0;15;São João;7896732600112.0;Olina 100ml;Disponível;48,78;34,99;-28.3%;34,99;-28.3%;Medicamentos > Fitoterápicos;1816.0;https://www.saojoaofarmacias.com.br/olina-100ml-1816/p
Acebrofilina 120ml Infantil Genérico Cimed;520.0;15;São João;7896004715292.0;Xarope Acetilcisteína Genérico EMS Infantil 120ml;Disponível;39,56;33,09;-16.4%;33,09;-16.4%;Medicamentos > Gripe E Resfriado > Xarope Para Tosse Produtiva;25689.0;https://www.saojoaofarmacias.com.br/xarope-acetilcisteina-generico-ems-infantil-120ml-25689/p
Metoprolol 50mg 30 Comprimidos Revestidos Genérico Pharlab;519.0;15;São João;7898148294381.0;Metronidazol 250mg Genérico Prati 20 Comprimidos Revestidos;Disponível;17,05;8,59;-49.6%;8,59;-49.6%;Medicamentos > Alergias E Infecções > Infecção;100011771.0;https://www.saojoaofarmacias.com.br/metronidazol-250mg-generico-prati-20-comprimidos-revestidos-100011771/p
Hominus 2+5Mg 30 Cápsulas Dura Momenta;516.0;16;São João;7896637029117.0;Insit 75mg 30 Cápsulas Duras;Disponível;77,57;33,00;-57.5%;33,00;-57.5%;Medicamentos > Sistema Nervoso Central > Epilepsia;10004584.0;https://www.saojoaofarmacias.com.br/insit-75mg-30-capsulas-duras-10004584/p
Venlaxin XR 75mg 60 Cápsulas Eurofarma;515.0;15;São João;7896422513951.0;Venlafaxina 75mg 30 Cápsulas Genérico Medley (C1);Disponível;105,77;35,99;-66.0%;35,99;-66.0%;Medicamentos > Sistema Nervoso Central > Depressão;10090273.0;https://www.saojoaofarmacias.com.br/venlafaxina-75mg-30-capsulas-generico-medley--c1--10090273/p
CataflamPro Aerossol Solução Dermatológica 85ml;514.0;15;São João;7896676435214.0;Mirugell Solução Oftamológica 5ml;Disponível;27,27;25,69;-5.8%;25,69;-5.8%;Medicamentos > Oftalmologia > Colírios;10103033.0;https://www.saojoaofarmacias.com.br/mirugell-solucao-oftamologica-5ml-10103033/p
Oscillococcinum 200K 6 Tubos;512.0;15;;;;;;;;;;;;
Aripiprazol 10mg 30 Comprimidos Genérico EMS (C1);511.0;13;São João;7896004747620.0;Aripiprazol 10mg 30 Comprimidos Genérico EMS (C1);Disponível;296,69;139,90;-52.8%;139,90;-52.8%;Medicamentos > Sistema Nervoso Central > Depressão;10038888.0;https://www.saojoaofarmacias.com.br/aripiprazol-10mg-30-comprimidos-generico-ems--c1--10038888/p
Azi 1g 1 Comprimido Sigma Pharma;511.0;15;São João;7894916500586.0;Azi 1g 1 Comprimido Sigma Pharma;Disponível;43,82;37,49;-14.4%;37,49;-14.4%;Medicamentos > Alergias E Infecções > Infecção;30026.0;https://www.saojoaofarmacias.com.br/azi-1g-1-comprimido-sigma-pharma-30026/p
Cataflexym Gel 10mg 60g Cifarma;505.0;13;São João;7896422504812.0;Clotrimazol Creme 10mg/g 20g Genérico Medley;Disponível;18,70;14,90;-20.3%;14,90;-20.3%;Medicamentos > Saúde Da Mulher > Ginecológicos;95473.0;https://www.saojoaofarmacias.com.br/clotrimazol-creme-10mg-g-20g-generico-medley-95473/p
Gel Reparil Mylan 100g;504.0;15;São João;7896641804205.0;Reparil Gel Viatris com 30g;Disponível;39,29;39,29;-0.0%;39,29;-0.0%;Medicamentos > Anti-inflamatórios;2469.0;https://www.saojoaofarmacias.com.br/reparil-gel-viatris-com-30g-2469/p
Levolukast 10mg/5mg 14 Comprimidos Revestidos;504.0;16;São João;7896637023658.0;Miosan 5mg 10 Comprimidos Revestidos;Disponível;20,15;20,15;-0.0%;20,15;-0.0%;Medicamentos > Anti-inflamatórios;1006624.0;https://www.saojoaofarmacias.com.br/miosan-5mg-10-comprimidos-revestidos-1006624/p
Amoxicilina + Clavulanato De Potássio 875mg 14 Comprimidos Revestidos Genérico Germed;504.0;14;São João;7896004719597.0;Amoxicilina + Clavulanato de Potássio 875mg 14 Comprimidos Revestidos Genérico EMS;Disponível;194,22;138,89;-28.5%;138,89;-28.5%;Medicamentos > Alergias E Infecções > Infecção;10094986.0;https://www.saojoaofarmacias.com.br/amoxicilina---clavulanato-de-potassio-875mg-14-comprimidos-revestidos-generico-ems-10094986/p
Retemic 5mg 60 Comprimidos;503.0;13;São João;7896637022569.0;Retemic 5mg 60 Comprimidos;Disponível;74,30;62,29;-16.2%;62,29;-16.2%;Medicamentos > Saúde Da Mulher > Ginecológicos;3335.0;https://www.saojoaofarmacias.com.br/retemic-5mg-60-comprimidos-3335/p
Selene 0,035mg/2mg 21 Comprimidos Revestidos;502.0;15;São João;7891317465650.0;Selene 0,035mg/2mg 63 Comprimidos Revestidos;Disponível;75,40;64,59;-14.3%;64,59;-14.3%;Medicamentos > Saúde Da Mulher > Anticoncepcional;1005121.0;https://www.saojoaofarmacias.com.br/selene-0-035mg-2mg-63-comprimidos-revestidos-1005121/p
Azitromicina 500mg 2 Comprimidos Genérico EMS;501.0;15;São João;7896004701172.0;Claritromicina Genérico EMS 500mg 10 Comprimidos;Disponível;186,35;99,90;-46.4%;99,90;-46.4%;Medicamentos > Alergias E Infecções > Infecção;93665.0;https://www.saojoaofarmacias.com.br/claritromicina-generico-ems-500mg-10-comprimidos-93665/p
Rifaldin Aventis 300mg 6 Cápsulas;498.0;14;São João;7898040321338.0;Utrogrestan 100mg 30 Cápsulas Besins;Disponível;85,16;70,79;-16.9%;70,79;-16.9%;Medicamentos > Reposição Hormonal > Distúrbios Hormonais;11347.0;https://www.saojoaofarmacias.com.br/utrogrestan-100mg-30-capsulas-besins-11347/p
Trezor 10mg 60 Comprimidos Revestidos Aché;497.0;16;São João;7896658047992.0;Trezete 10+10mg 60 Comprimidos Revestidos Aché;Disponível;168,73;139,09;-17.6%;139,09;-17.6%;Medicamentos > Cardiológicos > Colesterol;10035814.0;https://www.saojoaofarmacias.com.br/trezete-10-10mg-60-comprimidos-revestidos-ache-10035814/p
Colírio Teuto Solução Oftalmológica 20ml;497.0;15;São João;7896676435214.0;Mirugell Solução Oftamológica 5ml;Disponível;27,27;25,69;-5.8%;25,69;-5.8%;Medicamentos > Oftalmologia > Colírios;10103033.0;https://www.saojoaofarmacias.com.br/mirugell-solucao-oftamologica-5ml-10103033/p
Musculare 10mg 15 Comprimidos Revestidos;496.0;13;São João;7896637023658.0;Miosan 5mg 10 Comprimidos Revestidos;Disponível;20,15;20,15;-0.0%;20,15;-0.0%;Medicamentos > Anti-inflamatórios;1006624.0;https://www.saojoaofarmacias.com.br/miosan-5mg-10-comprimidos-revestidos-1006624/p
Ceclor Bd 500Mg 10 Comprimidos Revestidos Sigma Pharma;496.0;14;São João;7894916502641.0;Azi 500mg 5 Comprimidos Revestidos Sigma Pharma;Disponível;45,40;40,09;-11.7%;40,09;-11.7%;Medicamentos > Alergias E Infecções > Infecção;1002637.0;https://www.saojoaofarmacias.com.br/azi-500mg-5-comprimidos-revestidos-sigma-pharma-1002637/p
Pedialyte Plus Active 500ml Guarana Abbott;495.0;14;São João;7891158104657.0;Pedialyte Plus Active 500ml Guarana Abbott;Disponível;33,90;33,90;-0.0%;33,90;-0.0%;Medicamentos > Estômago E Gastrointestinais > Diarreia;10002905.0;https://www.saojoaofarmacias.com.br/pedialyte-plus-active-500ml-guarana-abbott-10002905/p
Alivium Mantecorp 400mg 20 Cápsulas;494.0;15;São João;7891142982469.0;Alivium Mantecorp 400mg 20 Cápsulas;Disponível;60,26;60,26;-0.0%;60,26;-0.0%;Medicamentos > Analgésicos > Dor E Febre;10003469.0;https://www.saojoaofarmacias.com.br/alivium-mantecorp-400mg-20-capsulas-10003469/p
Glifage 1g 30 Comprimidos Revestidos Merck;492.0;14;São João;7891317177652.0;Primera 20Mcg 63 Comprimidos Revestidos;Disponível;93,49;77,49;-17.1%;77,49;-17.1%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10096588.0;https://www.saojoaofarmacias.com.br/primera-20mcg-63-comprimidos-revestidos-10096588/p
Perola 75mcg 28 Comprimidos;492.0;14;São João;7898074614857.0;Ursacol 50mg 30 Comprimidos;Disponível;66,32;59,49;-10.3%;59,49;-10.3%;Medicamentos > Estômago E Gastrointestinais > Dor No Fígado;100012631.0;https://www.saojoaofarmacias.com.br/ursacol-50mg-30-comprimidos-100012631/p
Dorflex UNO Analgésico Contra Enxaqueca Dipirona Monoidratada 1g 10 Comprimidos;492.0;14;São João;7896714207551.0;Dipirona Monoidratada 1g 10 comprimidos Neo Química Genérico;Disponível;25,42;11,89;-53.2%;11,89;-53.2%;Medicamentos > Analgésicos > Dor E Febre;100002996.0;https://www.saojoaofarmacias.com.br/dipirona-monoidratada-1g-10-comprimidos-neo-quimica-generico-100002996/p
Aldomet 500mg 30 Comprimidos Revestidos;491.0;14;São João;7891317425869.0;Zart 50mg 30 Comprimidos Revestidos;Disponível;14,53;14,53;-0.0%;14,53;-0.0%;Medicamentos > Cardiológicos > Pressão Alta;10091180.0;https://www.saojoaofarmacias.com.br/zart-50mg-30-comprimidos-revestidos-10091180/p
Permese 1ml Injeção + Seringa Momenta;489.0;14;São João;7898328480313.0;Synvisc One Injetável 1 Seringa 6ml Medley;Disponível;3422,46;2056,65;-39.9%;2056,65;-39.9%;Medicamentos > Saúde Óssea;10100075.0;https://www.saojoaofarmacias.com.br/synvisc-one-injetavel-1-seringa-6ml-medley-10100075/p
Histamin 2mg 20 Comprimidos;489.0;15;São João;7896658027703.0;Kalist 2mg 28 Comprimidos;Disponível;65,89;55,99;-15.0%;55,99;-15.0%;Medicamentos > Saúde Da Mulher > Ginecológicos;100019876.0;https://www.saojoaofarmacias.com.br/kalist-2mg-28-comprimidos-100019876/p
Pomada Dermatológica Psorex 30g GSK;488.0;15;São João;7896637025362.0;Pomada Dermatológica Postec  20g;Disponível;148,92;124,69;-16.3%;124,69;-16.3%;Medicamentos > Alergias E Infecções > Corticoide;10095813.0;https://www.saojoaofarmacias.com.br/pomada-dermatologica-postec--20g-10095813/p
Levofloxacino 500mg 10 Comprimidos Revestidos Genérico Prati-Donaduzzi;487.0;14;São João;7899547528459.0;Levofloxacino 500mg 10 Comprimidos Revestidos Genérico Prati-Donaduzzi;Disponível;97,19;46,09;-52.6%;46,09;-52.6%;Medicamentos > Alergias E Infecções > Infecção;10022913.0;https://www.saojoaofarmacias.com.br/levofloxacino-500mg-10-comprimidos-revestidos-generico-prati-donaduzzi-10022913/p
Bismu-Jet Gotas Legrand 20ml;485.0;15;São João;7896004810140.0;Bismu-Jet Nitrato de Bismuto 20ml;Disponível;35,90;33,79;-5.9%;33,79;-5.9%;Medicamentos > Pele E Mucosa > Afta;8535.0;https://www.saojoaofarmacias.com.br/bismu-jet-nitrato-de-bismuto-20ml-8535/p
Doriless 500mg/5mg/10mg 12 Comprimidos;485.0;15;São João;7898158691187.0;Doriless 500mg/5mg/10mg 12 Comprimidos;Disponível;18,54;17,09;-7.8%;17,09;-7.8%;Medicamentos > Analgésicos > Dor Muscular;1002261.0;https://www.saojoaofarmacias.com.br/doriless-500mg-5mg-10mg-12-comprimidos-1002261/p
Tratamento da candidíase Gino-Canesten® Comprimido Vaginal - 1 dia;483.0;13;São João;7891106916059.0;Gino-Canesten 1 Comprimido + 1 Aplicador Bayer;Disponível;103,63;93,39;-9.9%;93,39;-9.9%;Medicamentos > Antifúngicos > Candidíase;3454.0;https://www.saojoaofarmacias.com.br/gino-canesten-1-comprimido---1-aplicador-bayer-3454/p
Meclin 25mg 15 Comprimidos;483.0;15;São João;7896637023115.0;Meclin 25mg 15 Comprimidos;Disponível;29,28;26,89;-8.2%;26,89;-8.2%;Medicamentos > Pele E Mucosa > Acne E Espinhas;3882.0;https://www.saojoaofarmacias.com.br/meclin-25mg-15-comprimidos-3882/p
Naturetti 16 Comprimidos Hypera Pharma;482.0;15;São João;7896094927797.0;Benegrip 12 comprimidos Multi Dia Hypera Pharma;Disponível;28,64;28,64;-0.0%;28,64;-0.0%;Medicamentos > Gripe E Resfriado;10031996.0;https://www.saojoaofarmacias.com.br/benegrip-12-comprimidos-multi-dia-hypera-pharma-10031996/p
Trimetazidina 35mg 30 Comprimidos Revisado Genérico Medley;482.0;16;São João;7896422501651.0;Tadalafila 5mg 30 Comprimidos Revestidos Genérico Medley;Disponível;99,22;32,90;-66.8%;32,90;-66.8%;Medicamentos > Saúde Do Homem > Disfunção Erétil;100014880.0;https://www.saojoaofarmacias.com.br/tadalafila-5mg-30-comprimidos-revestidos-generico-medley-100014880/p
Ventus Spray 120 Doses Eurofarma;482.0;15;São João;7896015518875.0;Avamys Spray Nasal 120 Doses;Disponível;74,30;74,30;-0.0%;74,30;-0.0%;Medicamentos > Alergias E Infecções > Rinite E Sinusite;10096528.0;https://www.saojoaofarmacias.com.br/avamys-spray-nasal-120-doses-10096528/p
Tramadol 50mg 10 Cápsulas Genérico Teuto (A2);481.0;15;São João;7896112121145.0;Tramadol 50mg 10 Cápsulas Genérico Teuto (A2);Disponível;37,51;19,90;-46.9%;19,90;-46.9%;Medicamentos > Analgésicos;10092355.0;https://www.saojoaofarmacias.com.br/tramadol-50mg-10-capsulas-generico-teuto--a2--10092355/p
Xarelto 2,5mg 30 Comprimidos Revestidos Bayer;481.0;15;São João;7891317425869.0;Zart 50mg 30 Comprimidos Revestidos;Disponível;14,53;14,53;-0.0%;14,53;-0.0%;Medicamentos > Cardiológicos > Pressão Alta;10091180.0;https://www.saojoaofarmacias.com.br/zart-50mg-30-comprimidos-revestidos-10091180/p
Eno Abacaxi Pó Efervescente 100g;481.0;13;São João;7896015521684.0;Sal de Fruta Eno Abacaxi 2 Envelopes Efervescentes 5g GSK;Disponível;4,93;4,29;-13.0%;4,29;-13.0%;Medicamentos > Estômago E Gastrointestinais > Má Digestão;10102451.0;https://www.saojoaofarmacias.com.br/sal-de-fruta-eno-abacaxi-2-envelopes-efervescentes-5g-gsk-10102451/p
Siilif 100Mg 60 Comprimidos Revestidos Takeda;481.0;14;São João;7896641806414.0;Siilif Brometo de Pinavério 100mg 60 Comprimidos Revestidos Takeda;Disponível;195,13;156,10;-20.0%;156,10;-20.0%;Medicamentos > Estômago E Gastrointestinais > Intestino;10100231.0;https://www.saojoaofarmacias.com.br/siilif-brometo-de-pinaverio-100mg-60-comprimidos-revestidos-takeda-10100231/p
Aradois HCT 100+25mg 60 Comprimidos Revestidos Biolab;481.0;16;São João;7896112486787.0;Aradois 50mg 30 Comprimidos Revestidos Biolab;Disponível;56,60;5,80;-89.8%;5,80;-89.8%;Medicamentos > Cardiológicos > Pressão Alta;93786.0;https://www.saojoaofarmacias.com.br/aradois-50mg-30-comprimidos-revestidos-biolab-93786/p
Ebix 20mg 30 Comprimidos Lundbeck (C1);481.0;16;São João;7896658008849.0;Levoid 112mcg 30 Comprimidos Aché;Disponível;33,99;30,09;-11.5%;30,09;-11.5%;Medicamentos > Reposição Hormonal > Tireoide;10090189.0;https://www.saojoaofarmacias.com.br/levoid-112mcg-30-comprimidos-ache-10090189/p
Enalapril + Hidroclorotiazida Genérico EMS 20mg + 12,5mg 30 Comprimidos;480.0;15;São João;7896004716176.0;Hidroclorotiazida Genérico EMS 25mg 30 Comprimidos;Disponível;9,94;1,25;-87.4%;1,25;-87.4%;Medicamentos > Cardiológicos > Pressão Alta;10090254.0;https://www.saojoaofarmacias.com.br/hidroclorotiazida-generico-ems-25mg-30-comprimidos-10090254/p
Xarope Abrilar 100ml FQM;479.0;14;São João;7896317907834.0;Xarope Liberaflux 100ml;Disponível;43,40;26,35;-39.3%;26,35;-39.3%;Medicamentos > Gripe E Resfriado > Xarope Para Tosse Produtiva;10107475.0;https://www.saojoaofarmacias.com.br/xarope-liberaflux-100ml-10107475/p
Rinosoro SIC Spray Nasal 50ml;477.0;27;São João;7896083400935.0;Rinospray Spray Nasal 100ml;Disponível;64,40;51,52;-20.0%;51,52;-20.0%;Medicamentos > Gripe E Resfriado > Desentupir Nariz;100005071.0;https://www.saojoaofarmacias.com.br/rinospray-spray-nasal-100ml-100005071/p
Foraseq 12mcg+200mcg 120 Cápsulas com Inalador Sandoz;476.0;17;São João;7898906376410.0;Tiorfan 100mg 9 Cápsulas Duras;Disponível;55,60;50,89;-8.5%;50,89;-8.5%;Medicamentos > Estômago E Gastrointestinais > Diarreia;10986.0;https://www.saojoaofarmacias.com.br/tiorfan-100mg-9-capsulas-duras-10986/p
Algilive 160mg 10 Cápsulas Biosintética;476.0;14;São João;7896658008115.0;Artrosil 160mg 10 Cápsulas Aché;Disponível;38,71;34,39;-11.2%;34,39;-11.2%;Medicamentos > Alergias E Infecções;10096826.0;https://www.saojoaofarmacias.com.br/artrosil-160mg-10-capsulas-ache-10096826/p
Atrace 37,5 + 325mg 30 Comprimidos Revestidos Momenta (A2);475.0;16;São João;7896637022835.0;Miosan 5Mg 30 Comprimidos Revestidos Apsen;Disponível;62,81;33,90;-46.0%;33,90;-46.0%;Medicamentos > Anti-inflamatórios;79631.0;https://www.saojoaofarmacias.com.br/miosan-5mg-30-comprimidos-revestidos-apsen-79631/p
Iban 150mg 1 Comprimido Revestido Eurofarma;473.0;15;São João;7896637023665.0;Miosan 10mg 10 Comprimidos Revestidos;Disponível;22,44;22,44;-0.0%;22,44;-0.0%;Medicamentos > Anti-inflamatórios;1006720.0;https://www.saojoaofarmacias.com.br/miosan-10mg-10-comprimidos-revestidos-1006720/p
Nordette 0,15mg/0,03mg 21 Drágeas;472.0;16;São João;7891106914369.0;Microvlar 0,15mg/0,03mg 63 Drágueas;Disponível;29,86;25,89;-13.3%;25,89;-13.3%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10022677.0;https://www.saojoaofarmacias.com.br/microvlar-0-15mg-0-03mg-63-dragueas-10022677/p
Quenzor 50 mg 30 Cápsulas de Liberação Prolongada Libbs;472.0;14;São João;7896004746388.0;Venlafaxina Genérico EMS 75mg 30 Cápsulas de Liberação Prolongada (C1);Disponível;105,74;64,90;-38.6%;64,90;-38.6%;Medicamentos > Sistema Nervoso Central > Depressão;100005504.0;https://www.saojoaofarmacias.com.br/venlafaxina-generico-ems-75mg-30-capsulas-de-liberacao-prolongada--c1--100005504/p
Floral Therapi Preocupa Não 30ml;472.0;14;São João;7897930002456.0;Homeopatia Ansiolide Ansiedade 30ml Therapi;Disponível;49,90;29,90;-40.1%;29,90;-40.1%;Medicamentos > Fitoterápicos;10035626.0;https://www.saojoaofarmacias.com.br/homeopatia-ansiolide-ansiedade-30ml-therapi-10035626/p
Aas Protect 100Mg 30 Comprimidos Revestidos Medley;472.0;15;São João;7896094928046.0;Aas Protect 100Mg 30 Comprimidos Revestidos Medley;Disponível;22,99;20,99;-8.7%;20,99;-8.7%;Medicamentos > Sistema Circulatório > Anticoagulante;10089066.0;https://www.saojoaofarmacias.com.br/aas-protect-100mg-30-comprimidos-revestidos-medley-10089066/p
Firialta 10mg Caixa 28 Comprimidos Revestidos;471.0;15;São João;7891045031493.0;Elifore 100mg 28 Comprimidos Revestidos Pfizer (C1);Disponível;195,02;117,01;-40.0%;117,01;-40.0%;Medicamentos > Sistema Nervoso Central > Depressão;100022276.0;https://www.saojoaofarmacias.com.br/elifore-100mg-28-comprimidos-revestidos-pfizer--c1--100022276/p
Luftal Infantil 30ml Reckitt;470.0;14;São João;7896222720887.0;Luftal Infantil Simeticona 75mg/ml Emulsão Gotas 15ml Reckitt;Disponível;39,51;37,19;-5.9%;37,19;-5.9%;Medicamentos > Estômago E Gastrointestinais > Gases;10024595.0;https://www.saojoaofarmacias.com.br/luftal-infantil-simeticona-75mg-ml-emulsao-gotas-15ml-reckitt-10024595/p
Metoprolol 100mg 30 Comprimidos Revestidos Genérico Accord;469.0;16;São João;7896523201542.0;Metoprolol 100mg 30 Comprimidos Revestidos Genérico Cimed;Disponível;85,49;49,90;-41.6%;49,90;-41.6%;Medicamentos > Cardiológicos > Pressão Alta;10035354.0;https://www.saojoaofarmacias.com.br/metoprolol-100mg-30-comprimidos-revestidos-generico-cimed-10035354/p
Deltametrina SH Deltapil Belfar 100ml;468.0;13;São João;7897917006163.0;Paracetamol Suspensão Oral Genérico Belfar 15ml;Disponível;9,02;5,39;-40.2%;5,39;-40.2%;Medicamentos > Analgésicos > Dor E Febre;10030559.0;https://www.saojoaofarmacias.com.br/paracetamol-suspensao-oral-generico-belfar-15ml-10030559/p
Ciclobenzaprina 10mg 10 Comprimidos Genérico EMS;468.0;14;São João;7896004784076.0;Bilastina 20mg 15 Comprimidos Genérico EMS;Disponível;46,58;29,15;-37.4%;29,15;-37.4%;Medicamentos > Alergias E Infecções > Antialérgicos;10030870.0;https://www.saojoaofarmacias.com.br/bilastina-20mg-15-comprimidos-generico-ems-10030870/p
Eficientus 10mg 30 Comprimidos Revestidos Medley (C1);468.0;14;São João;7896422522632.0;Escitalopram 15mg 30 Comprimidos Revestidos Genérico Medley (C1);Disponível;153,38;59,90;-60.9%;59,90;-60.9%;Medicamentos > Sistema Nervoso Central > Depressão;10006139.0;https://www.saojoaofarmacias.com.br/escitalopram-15mg-30-comprimidos-revestidos-generico-medley--c1--10006139/p
Montelair 4mg 60 Comprimidos Mast Aché;467.0;15;São João;7896658030284.0;Montelair 4mg 60 Comprimidos Mast Aché;Disponível;124,93;103,59;-17.1%;103,59;-17.1%;Medicamentos > Alergias E Infecções > Asma E Bronquite;100020362.0;https://www.saojoaofarmacias.com.br/montelair-4mg-60-comprimidos-mast-ache-100020362/p
Nasoar Granulado para Solução Nasal 30 Envelopes de 2,160g + Frasco Aplicador 240ml;467.0;16;São João;7898430193477.0;Nasoar 0,9% Refil Granulado para Solução Nasal 30 envelopes;Disponível;54,99;38,49;-30.0%;38,49;-30.0%;Medicamentos > Gripe E Resfriado > Desentupir Nariz;10022540.0;https://www.saojoaofarmacias.com.br/nasoar-0-9--refil-granulado-para-solucao-nasal-30-envelopes-10022540/p
Zoltec Wyeth 150mg 2 Cápsulas;467.0;15;São João;7896004703343.0;Fluconazol Genérico EMS 150mg 2 Cápsulas;Disponível;25,04;15,59;-37.7%;15,59;-37.7%;Medicamentos > Antifúngicos;10085962.0;https://www.saojoaofarmacias.com.br/fluconazol-generico-ems-150mg-2-capsulas-10085962/p
Hidroquinona 40mg/g 30g Gel Genérico Germed;467.0;15;São João;7896004821986.0;Minoxidil 50mg/ml Solução Capilar 50ml Genérico Germed;Disponível;61,18;54,90;-10.3%;54,90;-10.3%;Medicamentos > Saúde Do Homem > Calvície;10048389.0;https://www.saojoaofarmacias.com.br/minoxidil-50mg-ml-solucao-capilar-50ml-generico-germed-10048389/p
Xarope Benatux 120ml Cifarma;466.0;16;São João;7896317907834.0;Xarope Liberaflux 100ml;Disponível;43,40;26,35;-39.3%;26,35;-39.3%;Medicamentos > Gripe E Resfriado > Xarope Para Tosse Produtiva;10107475.0;https://www.saojoaofarmacias.com.br/xarope-liberaflux-100ml-10107475/p
Riopan Plus Gel 240ml;466.0;15;São João;7891058061562.0;Rifocina Spray  Aventis 20Ml;Disponível;44,80;44,80;-0.0%;44,80;-0.0%;Medicamentos > Alergias E Infecções > Infecção;2489.0;https://www.saojoaofarmacias.com.br/rifocina-spray--aventis-20ml-2489/p
Micropil Sigma Pharma 0,075mg + 0,030mg 21 Comprimidos Revestidos;466.0;15;São João;7894916502641.0;Azi 500mg 5 Comprimidos Revestidos Sigma Pharma;Disponível;45,40;40,09;-11.7%;40,09;-11.7%;Medicamentos > Alergias E Infecções > Infecção;1002637.0;https://www.saojoaofarmacias.com.br/azi-500mg-5-comprimidos-revestidos-sigma-pharma-1002637/p
Systen 25mcg/dia 8 Adesivos Theramex;466.0;17;São João;7896212426812.0;Systen Conti Adesivos Transdérmicos 8 Unidades;Disponível;168,96;133,49;-21.0%;133,49;-21.0%;Medicamentos > Reposição Hormonal > Distúrbios Hormonais;8277.0;https://www.saojoaofarmacias.com.br/systen-conti-adesivos-transdermicos-8-unidades-8277/p
Bravan 320mg 30 Comprimidos Revestidos Aché;466.0;14;São João;7896112486787.0;Aradois 50mg 30 Comprimidos Revestidos Biolab;Disponível;56,60;5,80;-89.8%;5,80;-89.8%;Medicamentos > Cardiológicos > Pressão Alta;93786.0;https://www.saojoaofarmacias.com.br/aradois-50mg-30-comprimidos-revestidos-biolab-93786/p
Engov After Pink Lemonade 250ml Hypera Pharma;465.0;15;São João;7896179850040.0;Laxante Fitoterápico Tamarine 6mg 20 Cápsulas Hypera Pharma;Disponível;99,76;85,09;-14.7%;85,09;-14.7%;Medicamentos > Estômago E Gastrointestinais > Intestino;3076.0;https://www.saojoaofarmacias.com.br/laxante-fitoterapico-tamarine-6mg-20-capsulas-hypera-pharma-3076/p
FLEDOID 300 40G GEL DIVCOM;465.0;17;São João;7896637031509.0;Inilok 40mg 30 Comprimidos;Disponível;72,96;72,96;-0.0%;72,96;-0.0%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;10011853.0;https://www.saojoaofarmacias.com.br/inilok-40mg-30-comprimidos-10011853/p
Betnovate Pomada GSK 30g;465.0;14;São João;7896714230504.0;Massageol Pomada 30g;Disponível;19,90;19,90;-0.0%;19,90;-0.0%;Medicamentos > Anti-inflamatórios;5193.0;https://www.saojoaofarmacias.com.br/massageol-pomada-30g-5193/p
